,Cluster_ID,Size,Representative,All_Features
606,428,2,GS10_zscore_3M,"GS10_zscore_3M, GS5_zscore_3M"
298,740,2,IPFUELS_accel_6M,"IPFUELS_accel_6M, IPFUELS_chg_6M"
354,195,2,SRVPRD_accel_6M,"PAYEMS_accel_6M, SRVPRD_accel_6M"
315,24,2,CE16OV_accel_6M,"CE16OV_accel_6M, CE16OV_chg_6M"
312,26,2,CLF16OV_accel_12M,"CLF16OV_accel_12M, CLF16OV_chg_12M"
603,421,2,GS1_zscore_3M,"GS1_zscore_3M, TB6MS_zscore_3M"
297,741,2,IPFUELS_accel_3M,"IPFUELS_accel_3M, IPFUELS_chg_3M"
307,40,2,HWIURATIO_accel_6M,"HWIURATIO_accel_6M, HWIURATIO_chg_6M"
353,194,2,SRVPRD_chg_6M,"PAYEMS_chg_6M, SRVPRD_chg_6M"
335,6,2,UEMP15OV_accel_6M,"UEMP15OV_accel_6M, UEMP15OV_chg_6M"
305,41,2,HWIURATIO_accel_3M,"HWIURATIO_accel_3M, HWIURATIO_chg_3M"
327,54,2,UEMPLT5_accel_3M,"UEMPLT5_accel_3M, UEMPLT5_chg_3M"
328,51,2,UEMPLT5_accel_6M,"UEMPLT5_accel_6M, UEMPLT5_chg_6M"
326,17,2,UEMPMEAN_accel_12M,"UEMPMEAN_accel_12M, UEMPMEAN_chg_12M"
329,56,2,UEMPLT5_accel_12M,"UEMPLT5_accel_12M, UEMPLT5_chg_12M"
622,368,2,COMPAPFFx_zscore_12M,"COMPAPFFx_zscore_12M, COMPAPFFx_zscore_6M"
614,401,2,AAA_chg_12M,"AAA_chg_12M, BAA_chg_12M"
302,39,2,HWI_accel_6M,"HWI_accel_6M, HWI_chg_6M"
615,402,2,AAA_accel_12M,"AAA_accel_12M, BAA_accel_12M"
330,34,2,UEMP5TO14_accel_3M,"UEMP5TO14_accel_3M, UEMP5TO14_chg_3M"
331,32,2,UEMP5TO14_accel_6M,"UEMP5TO14_accel_6M, UEMP5TO14_chg_6M"
333,2,2,UEMP15OV_accel_3M,"UEMP15OV_accel_3M, UEMP15OV_chg_3M"
